distance,X,Y,Z,V,max,may,maz,mav
23.939,-0.469264,-3.696647,-11.779472,12.354812,-0.781,-2.62,-9.33,9.819
23.959,-1.699883,-3.983952,-11.784261,12.55509,-0.819,-3.259,-9.871,10.496
23.979,0.814029,-3.715801,-9.935937,10.639204,-0.194,-3.762,-10.466,11.174
24.008,0.80924,-2.193089,-7.49864,7.854559,-0.136,-3.397,-10.25,10.851
24.019,-0.742203,-0.023942,-7.580042,7.61633,-0.205,-2.479,-9.2,9.666
24.039,-0.785298,-1.16837,-7.426814,7.559057,0.024,-1.775,-8.11,8.417
24.059,-0.459687,-2.600103,-10.132261,10.470653,-0.294,-1.496,-8.159,8.375
24.079,-0.148441,-3.241749,-10.831368,11.307056,-0.534,-1.759,-8.993,9.238
24.099,-1.853112,-2.523489,-9.691729,10.184872,-0.812,-2.383,-9.521,9.88
24.119,-1.575385,-2.643199,-9.356541,9.849527,-1.009,-2.752,-10.003,10.453
24.139,0.105345,-3.912126,-9.275137,10.066975,-0.868,-3.08,-9.789,10.352
24.159,1.043872,-3.825934,-10.539276,11.260719,-0.57,-3.226,-9.716,10.341
24.179,-1.16837,-2.360683,-10.764331,11.08191,-0.399,-3.185,-9.984,10.565
24.199,-0.92895,-1.441309,-8.212111,8.389225,-0.237,-2.885,-9.698,10.2
24.219,-1.015141,-2.485181,-6.876147,7.381602,-0.517,-2.528,-9.098,9.528
24.239,0.68953,-3.423708,-7.675811,8.432989,-0.606,-2.428,-8.382,8.821
24.259,-0.086191,-3.32794,-10.55843,11.07082,-0.335,-2.67,-8.331,8.819
24.279,-1.383849,-3.548207,-11.463438,12.079537,-0.449,-3.196,-9.143,9.741
24.299,-1.393425,-4.788404,-9.753978,10.954932,-0.543,-3.772,-9.863,10.635
24.319,0.493206,-4.084508,-9.217676,10.094157,-0.593,-3.937,-10.248,11.05
24.339,0.076614,-2.782062,-9.773131,10.161685,-0.552,-3.801,-10.052,10.823
24.359,-0.258574,-2.413355,-9.23683,9.550401,-0.271,-3.517,-9.495,10.19
24.379,-0.617704,-2.964022,-9.011775,9.506791,-0.077,-3.061,-9.31,9.828
24.399,-1.106121,-2.99754,-7.211336,7.887466,-0.476,-2.789,-8.808,9.277
24.419,-0.670376,-3.05979,-6.900089,7.577793,-0.663,-2.859,-8.09,8.631
24.439,-1.264138,-3.169923,-8.451532,9.114541,-0.915,-3.048,-7.894,8.522
24.459,-1.307234,-4.58729,-10.002975,11.082039,-1.087,-3.454,-8.141,8.915
24.479,-0.646434,-4.644751,-9.610326,10.693454,-0.972,-3.865,-8.741,9.617
24.499,-0.21069,-4.189853,-8.590396,9.560029,-0.857,-4.148,-9.164,10.113
24.519,-0.205901,-3.308787,-8.37013,9.002751,-0.593,-4.183,-9.143,10.085
24.539,-0.823605,-3.05979,-9.179369,9.710894,-0.472,-3.801,-8.938,9.742
24.559,-0.976834,-3.605668,-8.51857,9.301671,-0.554,-3.541,-8.665,9.394
24.579,-0.723049,-2.772485,-7.623138,8.143815,-0.682,-3.187,-8.423,9.04
24.599,-0.54109,-2.791639,-7.996634,8.487177,-0.766,-3.057,-8.329,8.911
24.619,-0.847547,-3.691859,-9.126697,9.881536,-0.772,-3.215,-8.316,8.954
24.639,-1.235408,-4.362236,-10.716447,11.636046,-0.837,-3.405,-8.866,9.537
24.659,-0.574608,-4.065354,-10.232818,11.025781,-0.8,-3.728,-9.518,10.258
24.679,0.263362,-2.94008,-7.910442,8.443253,-0.599,-3.765,-9.497,10.247
24.699,-0.895431,-2.427721,-8.379706,8.770126,-0.611,-3.449,-9.31,9.969
24.719,-0.699107,-2.676718,-9.457097,9.853438,-0.476,-3.027,-8.995,9.523
24.739,-0.881066,-2.944868,-9.80665,10.277106,-0.553,-2.747,-8.888,9.336
24.759,0.067038,-3.1795,-9.356541,9.882235,-0.602,-2.807,-9.25,9.696
24.779,0.191536,-3.399766,-9.562442,10.150635,-0.33,-3.05,-9.546,10.041
24.799,-0.325611,-4.29041,-9.390059,10.328933,-0.237,-3.454,-9.529,10.16
24.819,-0.201113,-3.859453,-8.485051,9.323729,-0.067,-3.682,-9.199,9.921
24.839,-0.646434,-3.581726,-8.853758,9.572652,-0.245,-3.783,-9.073,9.844
24.859,-0.574608,-3.720589,-9.102755,9.850538,-0.437,-3.863,-8.958,9.769
24.879,-0.852336,-2.983175,-9.907207,10.381645,-0.569,-3.536,-9.087,9.782
24.899,-0.009577,-3.064578,-9.600749,10.078002,-0.521,-3.338,-9.366,9.971
24.919,-0.162806,-3.193865,-9.940725,10.442476,-0.4,-3.241,-9.638,10.188
24.939,-0.967257,-3.337517,-8.494628,9.177871,-0.498,-3.145,-9.486,10.02
24.959,-0.383072,-3.552995,-7.230489,8.065388,-0.381,-3.287,-8.817,9.441
24.979,-0.814029,-2.552219,-8.781932,9.181438,-0.582,-3.159,-8.612,9.217
24.999,-0.895431,-3.366248,-9.65821,10.267153,-0.765,-3.202,-8.541,9.173
25.019,0.177171,-4.07972,-10.840945,11.584541,-0.479,-3.388,-9.128,9.775
25.039,-0.205901,-3.62961,-10.314221,10.936161,-0.435,-3.407,-9.899,10.492
25.059,-0.019154,-4.070143,-8.815451,9.709717,-0.236,-3.786,-9.907,10.624
25.079,-0.430956,-3.485958,-7.785944,8.541577,-0.12,-3.816,-9.439,10.193
25.099,-1.01993,-3.016694,-8.5473,9.121241,-0.419,-3.551,-8.866,9.577
25.119,-0.924162,-2.815581,-10.429143,10.841983,-0.599,-3.347,-8.894,9.554
25.139,0.004788,-3.96001,-10.625467,11.339412,-0.593,-3.32,-9.347,9.961
25.159,-0.852336,-3.916914,-8.872911,9.736388,-0.698,-3.427,-9.619,10.26
25.179,-0.368707,-3.615245,-7.872135,8.670436,-0.535,-3.577,-9.45,10.147
25.199,0.320823,-3.045424,-8.681376,9.205641,-0.224,-3.634,-9.013,9.738
25.219,0.205901,-2.628834,-10.247183,10.581017,-0.174,-3.302,-8.918,9.548
25.239,-0.909797,-3.375824,-10.654198,11.2132,-0.188,-3.166,-9.364,9.918
25.259,-1.436521,-3.533842,-9.543288,10.27745,-0.455,-3.146,-9.782,10.319
25.279,-0.426168,-2.920926,-9.303867,9.760911,-0.642,-3.115,-9.937,10.458
25.299,-0.560243,-3.040636,-9.184157,9.690619,-0.833,-3.218,-9.671,10.236
25.319,-0.416591,-3.639187,-9.069236,9.781016,-0.71,-3.284,-9.275,9.878
25.339,-0.378284,-3.859453,-9.02614,9.823934,-0.445,-3.365,-9.146,9.764
25.359,-0.483629,-3.136404,-9.088389,9.626513,-0.46,-3.419,-9.092,9.731
25.379,-0.105345,-2.748544,-8.868123,9.284891,-0.346,-3.346,-9.013,9.629
25.399,0.464475,-3.754108,-9.414001,10.145565,-0.126,-3.375,-9.099,9.72
25.419,-0.234632,-3.576937,-9.260772,9.930329,-0.09,-3.304,-9.158,9.747
25.439,-0.181959,-3.667917,-9.878476,10.539023,-0.014,-3.437,-9.355,9.975
25.459,0.114922,-3.045424,-9.260772,9.749344,0.041,-3.511,-9.454,10.091
25.479,0.699107,-3.150769,-7.19697,7.887489,0.099,-3.36,-8.899,9.527
25.499,-0.244209,-2.451663,-7.359776,7.761223,0.097,-3.079,-8.424,8.984
25.521,-0.565032,-2.839523,-8.839393,9.301453,0.001,-2.872,-8.164,8.675
25.539,-0.550666,-3.026271,-9.916783,10.382877,-0.165,-2.867,-8.328,8.833
25.559,0.134075,-2.590526,-8.590396,8.9735,-0.306,-2.727,-8.677,9.105
25.579,0.258574,-2.049437,-8.283937,8.537603,-0.181,-2.626,-8.908,9.299
25.599,-0.90022,-1.656788,-9.710882,9.892248,-0.265,-2.331,-9.125,9.447
25.619,-1.010353,-2.202666,-9.600749,9.901865,-0.379,-2.125,-9.046,9.326
25.639,-1.675941,-3.016694,-9.346964,9.963681,-0.832,-2.231,-9.236,9.574
25.659,-0.014365,-3.217807,-9.643845,10.166525,-0.9,-2.523,-9.576,9.981
25.679,-0.56982,-3.203442,-9.883265,10.405078,-0.818,-2.91,-9.619,10.109
25.699,-1.73819,-3.078943,-10.103531,10.704323,-1,-3.129,-9.744,10.31
25.719,-1.297657,-3.045424,-9.950302,10.486517,-0.905,-3.136,-9.895,10.441
25.739,-0.263362,-2.336741,-8.805874,9.114446,-0.967,-2.916,-9.686,10.178
25.76,-0.019154,-3.160346,-9.136273,9.667453,-0.83,-2.905,-9.499,9.993
25.779,-0.316035,-3.74932,-9.466674,10.187011,-0.474,-3.073,-9.34,9.864
25.799,-0.392649,-3.294421,-9.260772,9.837138,-0.248,-3.135,-9.167,9.702
25.819,0.052672,-3.203442,-9.126697,9.672715,-0.169,-3.352,-9.248,9.841
25.839,-0.512359,-2.676718,-8.662222,9.080827,-0.292,-3.231,-9.129,9.694
25.859,-0.756568,-2.762909,-8.848969,9.301093,-0.402,-2.984,-8.975,9.473
25.879,-0.617704,-3.002329,-8.255207,8.805906,-0.458,-2.911,-8.723,9.215
25.899,-0.244209,-2.470816,-8.987833,9.324469,-0.533,-2.728,-8.689,9.128
25.919,-0.895431,-3.174711,-10.237606,10.75589,-0.628,-2.853,-9.082,9.547
25.939,-1.254562,-3.576937,-10.295067,10.970725,-0.753,-3.056,-9.444,9.964
25.959,-0.435745,-3.643975,-9.643845,10.318535,-0.707,-3.217,-9.791,10.342
25.979,-0.21069,-3.677494,-9.519346,10.207169,-0.699,-3.518,-9.924,10.563
26.007,-0.076614,-3.476381,-9.030929,9.677229,-0.494,-3.594,-9.622,10.293
26.019,-0.59855,-2.686294,-10.079589,10.448567,-0.33,-3.371,-9.568,10.163
26.039,-0.632069,-3.213019,-9.41879,9.97179,-0.379,-3.263,-9.512,10.076
26.059,-0.244209,-2.207454,-8.178593,8.474778,-0.388,-2.896,-9.177,9.643
26.079,-0.086191,-1.94888,-7.163452,7.424325,-0.39,-2.514,-8.71,9.08
26.099,-0.972046,-1.771709,-8.015787,8.2666,-0.484,-2.285,-8.194,8.534
26.119,-1.393425,-3.213019,-10.409989,10.983306,-0.674,-2.285,-8.442,8.787
26.139,-0.54109,-4.194642,-11.626244,12.371635,-0.748,-2.782,-9.304,9.761
26.159,0.201113,-4.132392,-11.405977,12.133154,-0.676,-3.328,-10.364,10.939
26.179,0.301669,-4.390966,-10.43872,11.328656,-0.358,-3.983,-10.97,11.704
26.199,-0.047884,-4.161122,-7.991845,9.010373,-0.022,-4.22,-10.366,11.211
26.219,1.034295,-2.485181,-6.775591,7.290715,0.372,-3.792,-9.153,9.941
26.239,0.627281,-2.183512,-8.039729,8.354547,0.479,-3.305,-8.311,8.996
26.259,-0.47884,-2.322376,-9.442732,9.735908,0.284,-2.788,-8.062,8.598
26.279,-0.354342,-2.63841,-11.15698,11.470177,0.207,-2.407,-8.854,9.213
26.299,-1.580173,-2.552219,-11.03727,11.438186,-0.447,-2.424,-9.919,10.25
26.319,-0.885855,-2.528277,-11.066,11.385661,-0.825,-2.51,-10.676,11.007
26.339,-0.100556,-3.069367,-11.051635,11.470386,-0.73,-2.697,-11.078,11.441
26.359,-0.656011,-3.074155,-10.429143,10.892557,-0.806,-2.806,-10.896,11.297
26.379,-0.177171,-3.078943,-8.700529,9.230953,-0.455,-2.938,-10.312,10.745
26.399,-0.186748,-2.183512,-8.978256,9.241844,-0.28,-2.851,-9.79,10.209
26.419,0.148441,-2.092532,-9.514558,9.743076,-0.218,-2.607,-9.406,9.777
26.439,-0.392649,-2.662352,-10.596737,10.933121,-0.152,-2.504,-9.448,9.787
26.459,-0.387861,-2.834735,-9.32781,9.756751,-0.205,-2.443,-9.604,9.919
26.479,-0.881066,-1.661576,-7.915231,8.1356,-0.378,-2.313,-9.339,9.642
26.499,-0.368707,-1.637634,-7.939173,8.114694,-0.508,-2.199,-8.945,9.235
26.519,-0.632069,-2.647987,-9.016563,9.418586,-0.567,-2.195,-8.55,8.856
26.539,-0.215478,-3.260903,-11.022904,11.497145,-0.524,-2.302,-8.973,9.292
26.559,-0.225055,-4.256891,-10.984597,11.782748,-0.36,-2.951,-9.741,10.203
26.579,0.387861,-4.304775,-9.471462,10.411058,-0.171,-3.618,-10.124,10.777
26.599,0.268151,-3.394978,-8.173804,8.854877,0.054,-3.804,-9.913,10.636
26.619,0.11971,-2.676718,-9.351752,9.728022,0.138,-3.658,-9.495,10.194
26.639,-1.134852,-3.007117,-10.510546,10.991006,-0.09,-3.346,-9.377,9.996
26.659,0.023942,-3.744531,-10.13705,10.806566,-0.181,-3.206,-9.543,10.095
26.679,0.507571,-3.610456,-7.747637,8.562645,-0.121,-3.26,-9.437,10.022
26.699,0.967257,-2.059013,-7.153875,7.506867,0.091,-3.105,-8.887,9.467
26.719,-0.167594,-2.231396,-8.858546,9.136797,0.333,-2.911,-8.474,9.003
26.739,-0.565032,-3.203442,-10.46745,10.961241,0.186,-2.776,-8.557,9.042
26.759,-0.387861,-3.462016,-10.204087,10.782364,-0.038,-2.739,-9.171,9.597
26.779,-1.000776,-3.624821,-8.815451,9.584,-0.53,-3.13,-9.586,10.116
26.799,-1.450886,-2.662352,-7.627927,8.208438,-0.851,-3.238,-9.279,9.884
26.819,-0.244209,-2.533065,-7.852982,8.255021,-0.771,-3.071,-8.625,9.207
26.839,-1.053449,-2.27928,-10.582372,10.876188,-0.937,-2.775,-8.72,9.231
26.859,-1.608904,-3.371036,-11.334151,11.933794,-1.089,-2.711,-9.349,9.818
26.879,-1.292869,-3.380613,-10.055647,10.687193,-1.05,-2.891,-9.956,10.438
26.899,0.229843,-3.576937,-7.718906,8.510513,-0.931,-3.152,-9.923,10.502
26.919,0.335188,-3.605668,-7.680599,8.491454,-0.584,-3.484,-9.197,9.906
26.939,-0.713472,-3.351882,-9.730036,10.315898,-0.36,-3.479,-8.796,9.501
26.959,-1.086968,-3.821146,-10.740389,11.451577,-0.309,-3.589,-8.967,9.692
26.979,-0.761356,-4.01747,-10.529699,11.295765,-0.557,-3.699,-9.67,10.389
26.999,-0.588974,-3.471592,-9.323022,9.965821,-0.788,-3.666,-10.081,10.757
27.019,-0.531513,-3.141193,-8.465898,9.045497,-0.742,-3.613,-9.765,10.44
27.04,-0.052672,-2.274492,-7.642292,7.973752,-0.484,-3.226,-8.99,9.57
27.059,-0.464475,-2.284068,-8.418014,8.734739,-0.409,-2.793,-8.462,8.93
27.079,-0.967257,-3.165135,-9.308656,9.879511,-0.504,-2.716,-8.459,8.908
27.099,-0.493206,-3.782839,-9.476251,10.215305,-0.494,-2.877,-8.711,9.201
27.12,-0.641646,-4.098873,-9.868899,10.705496,-0.642,-3.333,-9.268,9.884
27.139,0.014365,-4.802769,-10.998962,12.001832,-0.522,-3.962,-9.913,10.701
27.159,-0.196325,-4.544195,-11.334151,12.212749,-0.329,-4.307,-10.42,11.284
27.179,-0.373495,-4.309563,-9.945514,10.845509,-0.299,-4.439,-10.537,11.441
27.2,-1.072602,-2.810793,-7.16824,7.773976,-0.407,-4.117,-9.862,10.709
27.219,0.316035,-1.963245,-5.683835,6.021644,-0.332,-3.407,-8.533,9.213
27.239,-0.35913,-1.312023,-6.052542,6.203518,-0.372,-2.599,-7.213,7.711
27.259,-0.742203,-2.48997,-8.90643,9.277678,-0.464,-2.144,-6.953,7.319
27.279,-2.044648,-3.189077,-12.287044,12.857769,-0.707,-2.239,-8.232,8.59
27.299,-1.570596,-5.075707,-12.890382,13.942436,-1.179,-3.017,-10.034,10.57
27.319,-0.512359,-5.492299,-10.663774,12.005996,-1.217,-4.062,-11.187,12.021
27.339,0.550666,-4.577713,-8.341399,9.530878,-0.894,-4.584,-11.046,12.084
27.36,0.574608,-2.767697,-7.661446,8.166277,-0.239,-4.478,-9.889,10.911
27.379,-0.560243,-2.657564,-7.541735,8.015877,0.013,-3.874,-8.552,9.43
27.399,-0.043096,-2.5187,-7.934384,8.324672,0.13,-3.13,-7.87,8.509
27.419,-0.258574,-2.480393,-8.925584,9.26743,-0.072,-2.606,-8.016,8.444
27.439,-0.220267,-3.256114,-10.175357,10.68591,-0.271,-2.728,-8.644,9.073
27.459,-1.235408,-4.19943,-10.405201,11.288474,-0.439,-3.114,-9.36,9.892
27.479,-1.436521,-3.835511,-10.682928,11.44114,-0.788,-3.443,-10.047,10.671
27.499,-1.49877,-3.442862,-9.346964,10.073001,-1.098,-3.683,-10.153,10.872
27.52,0.043096,-3.117251,-7.704541,8.311382,-1.032,-3.649,-9.535,10.279
27.539,-0.038307,-2.240973,-7.723695,8.042318,-0.733,-3.159,-8.865,9.467
27.559,-0.086191,-2.480393,-8.2169,8.583543,-0.395,-2.82,-8.248,8.753
27.579,-0.464475,-3.624821,-10.04607,10.690116,-0.136,-2.866,-8.423,8.907
27.599,-0.129287,-4.13718,-10.596737,11.376459,-0.18,-3.121,-9.146,9.673
27.619,-0.272939,-4.481946,-10.04607,11.003902,-0.238,-3.681,-9.726,10.414
27.639,-0.574608,-3.979163,-8.331821,9.251117,-0.36,-4.056,-9.755,10.58
27.659,-0.895431,-3.572149,-7.072472,7.973826,-0.468,-4.043,-9.012,9.901
27.679,-0.68953,-3.280056,-7.479486,8.196154,-0.608,-3.828,-8.232,9.106
27.699,-0.402226,-3.112462,-8.686164,9.235727,-0.64,-3.486,-7.892,8.664
27.719,-1.182736,-4.13718,-10.103531,10.981642,-0.792,-3.525,-8.335,9.097
27.739,-1.608904,-4.333505,-10.113108,11.119478,-0.971,-3.716,-9.096,9.883
27.759,-0.828394,-4.055778,-9.370906,10.244483,-1.006,-3.91,-9.568,10.395
27.779,-0.536301,-3.806781,-9.749189,10.479785,-1.039,-4.083,-9.834,10.706
27.799,-1.273715,-3.351882,-9.581595,10.230564,-1.062,-3.887,-9.704,10.519
27.819,-1.034295,-2.964022,-8.403648,8.97087,-0.918,-3.545,-9.276,9.981
27.839,-0.225055,-2.288857,-7.546524,7.889204,-0.767,-3.103,-8.82,9.393
27.859,-0.071826,-2.547431,-7.666234,8.07872,-0.651,-2.788,-8.299,8.792
27.879,-0.6608,-3.05979,-10.304645,10.769618,-0.498,-2.715,-8.48,8.927
27.899,-0.68953,-3.888184,-10.7356,11.438817,-0.412,-2.946,-9.063,9.544
27.919,-0.186748,-4.175488,-10.409989,11.21773,-0.402,-3.418,-9.779,10.376
27.939,-0.833182,-4.041412,-9.56723,10.41917,-0.593,-3.791,-10.254,10.961
27.959,-0.234632,-3.217807,-8.140285,8.756345,-0.486,-3.831,-9.713,10.458
27.979,-0.881066,-2.360683,-8.303091,8.677005,-0.534,-3.449,-9.105,9.768
28.005,-1.47004,-2.853889,-8.537724,9.121317,-0.855,-3.118,-8.637,9.243
28.019,-0.924162,-2.691083,-7.747637,8.253598,-0.877,-2.781,-8.182,8.702
28.039,-0.59855,-2.72939,-8.001422,8.475292,-0.968,-2.659,-8.147,8.632
28.059,-0.363919,-3.107674,-8.781932,9.322682,-0.839,-2.846,-8.267,8.793
28.079,-0.756568,-3.701436,-10.697293,11.344827,-0.661,-3.057,-8.807,9.349
28.099,-0.799663,-3.8403,-10.745177,11.438802,-0.63,-3.345,-9.556,10.145
28.119,0.550666,-3.691859,-9.504981,10.211647,-0.342,-3.585,-9.932,10.579
28.139,0.316035,-3.773262,-8.571242,9.370356,-0.172,-3.752,-9.88,10.591
28.159,0.603339,-3.754108,-9.911995,10.61626,0.168,-3.765,-9.683,10.409
28.179,0.019154,-3.854665,-10.965444,11.623242,0.372,-3.768,-9.738,10.455
28.199,-0.268151,-3.787627,-10.520123,11.184409,0.168,-3.792,-9.992,10.699
28.219,-0.761356,-3.117251,-8.777143,9.345328,-0.102,-3.628,-10.044,10.692
28.239,-0.59855,-2.226608,-7.144298,7.507133,-0.402,-3.247,-9.352,9.915
28.259,-0.100556,-2.413355,-7.412448,7.796075,-0.432,-2.886,-8.463,8.958
28.279,-0.603339,-2.37026,-8.676587,9.014728,-0.516,-2.532,-8.003,8.416
28.299,-0.995988,-2.96881,-9.892841,10.376615,-0.575,-2.495,-8.282,8.674
28.319,-1.288081,-4.165911,-10.395624,11.273108,-0.747,-2.98,-9.094,9.615
28.339,-0.014365,-4.563348,-10.366894,11.32682,-0.725,-3.517,-9.833,10.498
28.359,-0.301669,-4.52983,-10.754754,11.673693,-0.65,-4.057,-10.353,11.163
28.379,-0.92895,-4.548983,-10.644621,11.613103,-0.633,-4.452,-10.54,11.472
28.4,-0.407014,-3.89776,-8.446744,9.311589,-0.413,-4.385,-10.053,10.981
28.419,-0.335188,-3.289633,-7.350199,8.059743,-0.493,-4.067,-9.299,10.165
28.439,0.162806,-2.691083,-8.341399,8.766263,-0.377,-3.607,-8.696,9.438
28.459,-0.895431,-3.213019,-10.31901,10.844688,-0.369,-3.273,-8.614,9.246
28.482,-1.115698,-3.643975,-10.864887,11.513866,-0.546,-3.209,-9.219,9.796
28.499,-0.751779,-3.576937,-8.939949,9.658279,-0.65,-3.281,-9.616,10.196
28.519,-0.23942,-2.829947,-6.952762,7.510447,-0.751,-3.316,-9.269,9.882
28.539,-0.172383,-2.628834,-7.694964,8.133447,-0.57,-3.17,-8.613,9.204
28.559,-0.751779,-3.557784,-10.544065,11.153488,-0.479,-3.148,-8.533,9.114
28.579,-1.833959,-3.936068,-13.273455,13.965695,-0.749,-3.238,-9.616,10.191
28.599,-1.814805,-4.448427,-10.357317,11.417357,-1.143,-3.643,-10.467,11.167
28.619,-0.114922,-2.868254,-7.326257,7.868553,-1.129,-3.703,-10.375,11.101
28.639,-0.373495,-1.479617,-6.761226,6.931301,-1.034,-3.183,-9.43,10.046
28.659,-1.383849,-1.556231,-8.662222,8.909039,-0.922,-2.588,-8.277,8.782
28.679,-1.331176,-2.691083,-9.428367,9.89485,-0.801,-2.149,-8.045,8.401
28.699,-0.737414,-2.94008,-9.471462,9.944669,-0.956,-2.167,-8.581,8.92
28.719,0.407014,-3.332729,-9.030929,9.634854,-0.761,-2.63,-9.148,9.596
28.739,0.416591,-3.672705,-9.198523,9.913381,-0.311,-3.159,-9.282,9.847
28.759,-0.828394,-4.266468,-10.500969,11.364829,-0.186,-3.553,-9.55,10.214
28.779,-0.699107,-4.146757,-10.132261,10.970281,-0.176,-3.855,-9.716,10.471
28.8,-0.914585,-3.74932,-9.188946,9.966473,-0.506,-3.959,-9.755,10.554
28.819,-1.11091,-2.896984,-8.51857,9.066017,-0.888,-3.765,-9.585,10.342
28.839,-0.823605,-2.48997,-7.963115,8.383882,-0.887,-3.321,-8.951,9.597
28.859,-0.411803,-2.475605,-8.513782,8.875961,-0.815,-2.903,-8.546,9.073
28.879,-0.823605,-2.60968,-8.983045,9.390625,-0.792,-2.618,-8.495,8.929
28.899,-0.038307,-2.686294,-9.179369,9.564437,-0.524,-2.565,-8.66,9.054
28.919,-0.387861,-3.1795,-9.461885,9.989341,-0.415,-2.738,-9.035,9.455
28.939,-0.435745,-4.606444,-9.998186,11.016938,-0.421,-3.27,-9.406,9.99
28.959,-0.292093,-4.869806,-11.113884,12.137494,-0.289,-3.836,-9.938,10.677
28.979,-0.608127,-4.898537,-11.085154,12.134501,-0.431,-4.389,-10.415,11.32
28.999,-0.670376,-4.29041,-9.734824,10.659447,-0.502,-4.666,-10.483,11.487
29.019,-0.967257,-3.471592,-8.896853,9.599039,-0.634,-4.383,-10.208,11.133
29.04,-1.403002,-2.829947,-7.953538,8.557791,-0.912,-3.873,-9.418,10.238
29.059,-0.675165,-2.221819,-7.431602,7.785951,-0.929,-3.203,-8.504,9.151
29.079,-0.636858,-1.891419,-9.126697,9.342358,-0.921,-2.604,-8.352,8.821
29.099,-1.340753,-2.681506,-10.477027,10.897531,-1.014,-2.406,-8.747,9.146
29.119,-1.632846,-2.873042,-11.147403,11.626915,-1.071,-2.417,-9.546,9.913
29.139,-0.440533,-3.624821,-10.400413,11.022793,-1.013,-2.768,-10.288,10.722
29.159,-0.263362,-3.792415,-9.548077,10.277039,-0.919,-3.243,-10.393,10.956
29.179,-0.440533,-3.720589,-8.250419,9.061251,-0.694,-3.503,-9.837,10.497
29.201,-1.182736,-3.462016,-9.155427,9.859324,-0.582,-3.65,-9.339,10.055
29.219,-1.254562,-3.476381,-9.131485,9.851049,-0.785,-3.613,-9.021,9.762
29.239,-1.177947,-3.572149,-9.706094,10.409422,-1.014,-3.558,-9.061,9.795
29.259,-0.890643,-3.41892,-9.600749,10.230183,-1.126,-3.482,-9.398,10.087
29.279,-0.349553,-3.007117,-9.23683,9.720286,-0.918,-3.369,-9.419,10.053
29.299,-0.402226,-2.791639,-8.848969,9.287588,-0.705,-3.197,-9.348,9.912
29.319,-0.335188,-2.418144,-8.5473,8.889101,-0.494,-2.909,-9.058,9.532
29.339,-0.095768,-2.513912,-8.743625,9.098346,-0.296,-2.683,-8.844,9.249
29.359,-0.215478,-3.308787,-9.318233,9.8906,-0.262,-2.758,-8.865,9.291
29.379,-0.014365,-3.696647,-10.553641,11.182341,-0.165,-2.984,-9.291,9.765
29.399,-1.407791,-3.801992,-11.549629,12.240546,-0.433,-3.33,-10.041,10.603
29.419,-2.06859,-3.950433,-10.759542,11.647006,-0.927,-3.689,-10.545,11.24
29.44,-0.90022,-3.002329,-8.60955,9.162353,-1.098,-3.613,-10.368,11.058
29.459,-0.770933,-1.867477,-8.240842,8.484886,-1.287,-3.156,-9.79,10.384
29.479,-0.885855,-2.37026,-8.810662,9.166823,-1.156,-2.798,-9.105,9.615
29.499,-1.005565,-2.681506,-9.629479,10.046318,-0.891,-2.48,-8.823,9.215
29.519,-1.005565,-3.394978,-10.472239,11.054629,-0.917,-2.579,-9.288,9.688
29.539,-0.565032,-3.806781,-9.907207,10.628432,-0.866,-3.063,-9.705,10.224
29.559,-0.033519,-3.715801,-9.059659,9.792126,-0.652,-3.4,-9.767,10.38
29.579,-0.857124,-3.189077,-8.791509,9.391246,-0.615,-3.527,-9.558,10.217
29.599,-0.991199,-3.380613,-7.781156,8.541511,-0.612,-3.523,-8.885,9.588
29.619,-0.828394,-2.494758,-7.73806,8.17237,-0.678,-3.195,-8.343,8.974
29.639,-0.105345,-1.982399,-8.236053,8.471929,-0.696,-2.762,-8.137,8.644
29.659,-0.263362,-2.073379,-10.7356,10.937156,-0.547,-2.483,-8.623,9.031
29.679,-2.245761,-2.906561,-12.033257,12.581368,-0.861,-2.364,-9.686,10.041
29.699,-1.206678,-3.332729,-10.663774,11.237403,-0.955,-2.574,-10.417,10.807
29.719,0.296881,-3.399766,-8.058883,8.751694,-0.855,-2.928,-10.373,10.877
29.739,0.842759,-2.801216,-8.379706,8.875615,-0.578,-3.11,-9.784,10.362
29.76,-0.588974,-3.193865,-9.380483,9.926788,-0.164,-3.182,-9.121,9.698
29.779,-1.225831,-4.041412,-10.577583,11.38951,-0.169,-3.359,-9.099,9.736
29.799,-1.278504,-3.859453,-9.260772,10.113943,-0.563,-3.474,-9.4,10.076
29.819,-0.435745,-3.040636,-7.450756,8.059101,-0.882,-3.534,-9.167,9.872
29.839,0.057461,-2.236184,-7.613562,7.935373,-0.721,-3.294,-8.726,9.374
29.859,-0.656011,-2.173935,-9.332599,9.604881,-0.578,-2.828,-8.414,8.928
29.879,-1.101333,-2.221819,-9.864111,10.171042,-0.534,-2.418,-8.565,8.943
29.899,-0.344765,-2.303222,-9.572019,9.851256,-0.511,-2.234,-9.096,9.391
29.919,-0.430956,-2.806004,-8.901642,9.343373,-0.633,-2.376,-9.418,9.743
29.939,-0.59855,-3.409343,-8.250419,8.947138,-0.619,-2.685,-9.147,9.578
29.959,-1.192312,-3.064578,-9.902418,10.434133,-0.642,-2.896,-9.157,9.644
29.979,-1.848324,-3.797204,-11.281479,12.04603,-1.018,-3.269,-9.584,10.193
30.009,-0.684742,-3.706224,-9.299079,10.033835,-1.081,-3.494,-9.683,10.365
30.019,0.6608,-2.523489,-7.733272,8.161381,-0.766,-3.273,-9.554,10.169
