distance,X,Y,Z,V,max,may,maz,mav
136.199,-0.392649,-3.303998,-7.967903,8.634701,-0.605,-3.564,-8.565,9.308
136.219,-1.101333,-3.313575,-9.198523,9.83898,-0.543,-3.39,-8.231,8.93
136.242,-0.627281,-3.835511,-9.528923,10.291016,-0.522,-3.412,-8.449,9.138
136.259,-0.454898,-4.256891,-9.23683,10.180721,-0.644,-3.677,-8.983,9.736
136.279,0.215478,-3.964798,-8.00621,8.936747,-0.492,-3.843,-8.993,9.812
136.299,-0.196325,-4.453215,-9.260772,10.277722,-0.266,-4.128,-9.008,9.922
136.322,-0.335188,-4.10845,-10.34774,11.138557,-0.193,-4.196,-9.213,10.133
136.339,-1.13964,-4.036624,-10.093954,10.930737,-0.364,-4.141,-9.427,10.321
136.359,-0.459687,-3.615245,-9.313444,10.001077,-0.533,-4.053,-9.754,10.587
136.379,-1.000776,-3.586514,-7.450756,8.329369,-0.734,-3.837,-9.301,10.1
136.402,-0.095768,-2.930503,-7.565677,8.113969,-0.674,-3.542,-8.606,9.344
136.419,-0.924162,-3.251326,-8.872911,9.494933,-0.62,-3.346,-8.301,8.985
136.439,-0.536301,-4.060566,-10.376471,11.15558,-0.639,-3.457,-8.566,9.273
136.459,-1.426944,-4.113238,-9.270349,10.24179,-0.746,-3.589,-9.021,9.752
136.482,-0.339977,-4.175488,-9.131485,10.046607,-0.807,-3.9,-9.413,10.235
136.499,-0.35913,-4.386178,-8.968679,9.990232,-0.666,-4.184,-9.437,10.359
136.519,-0.54109,-3.96001,-9.342175,10.161235,-0.667,-4.159,-9.178,10.11
136.539,-1.441309,-3.107674,-10.371682,10.922765,-0.67,-3.907,-9.453,10.28
136.561,-0.454898,-3.682282,-8.456321,9.234473,-0.699,-3.784,-9.285,10.077
136.579,-0.426168,-3.222595,-7.584831,8.252054,-0.716,-3.493,-8.939,9.643
136.599,-0.009577,-3.198653,-7.85777,8.483869,-0.583,-3.303,-8.568,9.223
136.619,-0.057461,-4.175488,-9.045294,9.962697,-0.237,-3.57,-8.236,8.983
136.641,-1.082179,-4.266468,-10.692505,11.563024,-0.394,-3.716,-8.795,9.565
136.659,-1.221043,-4.19943,-10.223241,11.119389,-0.593,-3.96,-9.455,10.282
136.679,-0.220267,-3.667917,-8.470686,9.233345,-0.645,-4.077,-9.608,10.47
136.699,-0.220267,-3.825934,-8.355764,9.192665,-0.686,-3.99,-9.436,10.277
136.722,-0.325611,-3.256114,-9.662998,10.202051,-0.497,-3.737,-9.178,9.937
136.739,-1.23062,-3.514688,-10.041282,10.709566,-0.499,-3.566,-9.133,9.834
136.759,-0.92895,-3.787627,-9.332599,10.114666,-0.676,-3.596,-9.348,10.055
136.779,-0.78051,-3.141193,-7.13951,7.838934,-0.816,-3.425,-9.044,9.716
136.802,0.751779,-2.920926,-7.608773,8.184767,-0.547,-3.341,-8.531,9.212
136.819,-0.545878,-3.41892,-9.078813,9.716575,-0.376,-3.317,-8.29,8.964
136.839,-1.278504,-4.046201,-10.271125,11.113159,-0.463,-3.382,-8.525,9.213
136.859,-0.756568,-4.367024,-9.112331,10.133009,-0.457,-3.688,-9.018,9.787
136.882,-0.071826,-3.835511,-9.074024,9.85161,-0.663,-3.917,-9.384,10.204
136.899,-0.282516,-3.849876,-8.202535,9.065481,-0.597,-4.025,-9.165,10.041
136.919,-0.201113,-3.280056,-8.690952,9.291495,-0.328,-3.833,-8.77,9.585
136.939,-0.790087,-3.706224,-8.820239,9.599841,-0.336,-3.668,-8.697,9.452
136.961,-0.081403,-3.457227,-8.695741,9.358149,-0.339,-3.573,-8.602,9.329
136.979,-0.56982,-3.442862,-7.967903,8.69859,-0.411,-3.472,-8.544,9.237
136.999,-0.325611,-4.118027,-8.959103,9.865581,-0.442,-3.681,-8.611,9.381
137.019,-0.344765,-4.213795,-9.77792,10.652823,-0.33,-3.808,-8.85,9.644
137.041,-0.617704,-4.515464,-10.577583,11.517649,-0.464,-4.073,-9.321,10.184
137.059,-0.268151,-4.505888,-10.026917,10.99609,-0.389,-4.338,-9.835,10.758
137.079,-0.497994,-3.888184,-9.509769,10.285994,-0.432,-4.281,-9.973,10.863
137.099,-0.507571,-3.069367,-8.192958,8.763743,-0.473,-3.995,-9.577,10.391
137.122,-0.287304,-2.825158,-7.575254,8.090027,-0.39,-3.572,-8.826,9.534
137.139,-0.588974,-2.863465,-8.753201,9.228481,-0.47,-3.162,-8.508,9.092
137.159,-1.177947,-4.027047,-9.983821,10.829651,-0.64,-3.196,-8.626,9.228
137.179,-0.383072,-4.43885,-9.203311,10.225022,-0.609,-3.539,-8.879,9.593
137.202,0.253785,-4.649539,-9.648633,10.713484,-0.474,-3.995,-9.397,10.249
137.219,-0.325611,-4.860229,-9.878476,11.014179,-0.408,-4.494,-9.679,10.696
137.239,-0.45011,-4.472369,-9.749189,10.735519,-0.226,-4.605,-9.62,10.672
137.259,-0.885855,-3.620033,-9.366117,10.080354,-0.352,-4.401,-9.661,10.636
137.281,-0.378284,-3.241749,-7.292738,7.989748,-0.51,-4.049,-9.072,9.955
137.299,-0.584185,-2.604892,-7.536947,7.995767,-0.575,-3.485,-8.486,9.2
