time,X,Y,Z,V,max,may,maz,mav
1561444999,2.111686,-0.45011,-9.078813,9.332023,1.474,-1.446,-8.194,8.497
1559777898,0.775721,-1.896208,-11.822568,11.998769,1.512,-1.41,-8.976,9.259
1560571774,0.11971,-2.75812,-10.477027,10.834651,1.229,-1.653,-9.609,9.908
1561090450,0.263362,-1.513135,-8.121132,8.265091,0.818,-1.654,-9.875,10.108
1561008303,0.47884,-0.881066,-7.953538,8.016504,0.409,-1.762,-9.594,9.779
1561765363,0.78051,-0.842759,-10.01734,10.082982,0.411,-1.499,-9.142,9.3
1560552126,-0.138864,-1.436521,-11.669339,11.758246,0.346,-1.168,-9.44,9.531
1561728808,0.143652,-1.479617,-10.663774,10.766893,0.316,-1.16,-10.076,10.156
1560240753,1.288081,-0.785298,-7.891289,8.034195,0.518,-1.136,-10.06,10.161
1559947929,0.134075,-0.565032,-9.481039,9.498807,0.357,-1.067,-9.926,10.015
1560103089,-0.574608,-2.135628,-11.075577,11.294224,0.248,-1.241,-9.778,9.899
1560600459,-0.277727,-1.436521,-10.654198,10.754192,0.142,-1.231,-9.776,9.895
1561062352,1.043872,-0.986411,-8.499416,8.619905,0.081,-1.281,-9.928,10.042
1561063295,1.288081,-0.483629,-8.556877,8.666787,0.37,-1.261,-9.697,9.834
1560767802,1.149217,-1.522712,-10.299856,10.475036,0.801,-1.107,-9.503,9.629
1559309771,0.828394,-2.667141,-12.593501,12.899463,1.077,-1.415,-9.987,10.165
1561006815,0.847547,-2.892196,-11.314998,11.709496,1.028,-1.891,-10.691,10.938
1560399460,0.952892,-2.140416,-8.60955,8.922653,0.945,-2.306,-10.704,11.002
1561701466,1.82917,-1.225831,-6.885724,7.229227,1.114,-2.231,-9.851,10.19
1561007074,1.575385,-1.556231,-8.331821,8.621076,1.301,-1.954,-8.786,9.121
1560612965,1.149217,-2.662352,-10.711658,11.097227,1.377,-1.896,-8.635,8.968
1560004391,1.752556,-2.413355,-11.209652,11.599657,1.577,-1.964,-9.285,9.637
1559308023,0.981623,-2.274492,-11.525687,11.788908,1.365,-2.227,-10.445,10.777
1560988227,1.675941,-2.264915,-9.586384,9.991865,1.39,-2.404,-10.758,11.119
1561717871,0.584185,-0.914585,-9.045294,9.110163,1.249,-1.967,-10.342,10.623
1560044977,0.531513,-1.000776,-9.624691,9.691168,0.943,-1.614,-9.946,10.146
1559879123,-0.842759,-1.675941,-10.898406,11.058674,0.487,-1.464,-9.789,9.963
1559522619,1.053449,-0.881066,-7.781156,7.901419,0.332,-1.118,-9.337,9.44
1561888584,0.909797,-0.100556,-6.675035,6.737502,0.413,-0.915,-8.745,8.847
1561195785,1.096544,-0.919373,-9.251195,9.361211,0.554,-0.894,-8.651,8.765
1559677115,-0.110133,-1.819593,-13.876793,13.996015,0.737,-0.93,-9.396,9.499
1559543500,0.708684,-3.39019,-15.049952,15.443337,0.651,-1.557,-11.213,11.385
1561183815,0.387861,-2.624045,-12.406754,12.687143,0.521,-2.188,-12.646,12.872
1560335074,1.407791,-2.27928,-8.714894,9.117367,0.599,-2.528,-12.512,12.811
1559356511,1.130063,-1.11091,-5.995081,6.20098,0.909,-2.351,-10.542,10.862
1559379532,0.861913,-0.995988,-6.876147,7.001163,0.947,-1.753,-8.498,8.752
1560721131,0.713472,-2.351106,-9.629479,9.937989,1.028,-1.684,-7.804,8.064
1560675044,1.771709,-2.671929,-9.624691,10.144596,1.119,-1.782,-8.031,8.321
1559701465,2.30801,-1.182736,-8.604761,8.987085,1.414,-1.8,-8.684,9.018
1559579258,1.541866,-1.024718,-9.969456,10.139894,1.584,-1.808,-9.457,9.802
1560741472,-0.349553,-1.82917,-12.138602,12.280623,1.318,-1.677,-10.084,10.388
1560671038,-1.125275,-4.050989,-12.445061,13.136068,0.594,-2.022,-10.789,11.136
1561823971,0.536301,-3.816358,-8.101978,8.971859,0.151,-2.68,-10.664,11.132
1561695837,2.815581,-1.963245,-6.751649,7.574074,0.469,-2.915,-9.859,10.491
1560762689,3.964798,-1.278504,-9.888053,10.729762,1.548,-2.777,-9.297,10.103
1560043413,0.339977,-2.954445,-12.3876,12.739583,1.914,-2.503,-9.282,10.004
1560209079,0.301669,-2.810793,-8.542512,8.998115,1.856,-2.252,-9.392,10.01
1560643487,0.488417,-2.245761,-5.262455,5.742424,1.274,-2.322,-9.02,9.552
1560589679,1.283292,-1.580173,-5.329493,5.705022,0.603,-2.398,-7.881,8.296
1560093616,2.39899,-2.03986,-9.299079,9.817793,1.118,-2.169,-7.108,7.566
1560905790,0.852336,-5.061342,-13.053187,14.026024,1.256,-2.732,-8.236,8.823
1559626384,2.322376,-4.213795,-13.412318,14.249202,1.714,-3.224,-10.274,10.95
1560915985,1.786075,-3.5099,-14.298173,14.830617,1.84,-3.706,-12.516,13.231
1560190719,-1.288081,-6.282385,-10.295067,12.129135,0.918,-4.767,-12.765,13.809
1560829655,1.853112,-4.29041,-5.291186,7.059624,1.168,-4.574,-10.824,12.067
1560851766,2.537854,-2.121263,-2.485181,4.137219,1.222,-4.051,-8.092,9.539
1561167232,5.276821,-0.90022,-3.256114,6.265582,2.095,-3.399,-5.332,7.398
1560667319,5.33907,0.258574,-7.201759,8.968716,3.752,-1.763,-4.559,6.608
1560655180,1.23062,-2.015918,-14.393941,14.586428,3.596,-1.195,-6.834,8.49
1561027929,-1.656788,-5.726931,-14.403518,15.588585,2.547,-2.096,-9.814,11.352
1561658478,-1.493982,-4.419696,-11.022904,11.96955,0.855,-2.976,-11.756,12.778
1559683200,0.100556,-3.303998,-6.895301,7.646678,-0.455,-3.867,-11.679,12.448
1559430062,2.681506,-1.144428,-5.707777,6.409283,-0.092,-3.649,-9.507,10.404
1559334447,3.136404,-1.479617,-8.188169,8.892267,1.106,-2.587,-7.954,8.729
1561333418,2.030283,-4.074931,-13.144167,13.910292,1.987,-2.501,-8.484,9.215
1560411236,1.953669,-4.707001,-12.215217,13.235716,2.45,-2.851,-9.814,10.612
1559275557,1.460463,-3.165135,-9.303867,9.935441,2.145,-3.357,-10.713,11.493
1560066065,1.35033,-3.08852,-7.096414,7.856299,1.699,-3.759,-10.44,11.234
1561745648,2.63841,-2.346318,-6.512228,7.407802,1.851,-3.327,-8.782,9.609
1559840241,2.882619,-2.499547,-8.892065,9.676055,2.083,-2.775,-7.951,8.719
1560318297,0.349553,-4.343082,-12.660539,13.389316,1.805,-3.069,-8.79,9.582
1559379792,0.871489,-3.438074,-10.989386,11.547573,1.686,-3.157,-9.764,10.505
1561663674,1.23062,-1.776498,-10.041282,10.271208,1.334,-3.014,-10.646,11.221
1560202158,0.804452,-2.509123,-10.127473,10.464633,0.814,-3.017,-10.955,11.418
1560531095,1.565808,-2.815581,-11.324574,11.773922,1.118,-2.635,-10.621,11.014
1560983183,0.852336,-4.759673,-11.81778,12.768746,1.113,-2.965,-10.828,11.32
1561740808,1.628057,-3.620033,-8.451532,9.337216,1.213,-3.426,-10.43,11.086
1561464864,2.576161,-1.412579,-5.583278,6.309119,1.656,-3.152,-9.294,10.047
1560612838,1.805228,-0.972046,-6.38773,6.708712,1.715,-2.691,-8.06,8.781
1561318374,0.732626,-2.001553,-9.332599,9.572897,1.686,-2.002,-7.439,7.982
1560514799,-0.253785,-4.13718,-10.922348,11.682395,1.215,-2.131,-8.057,8.568
1560281382,0.047884,-2.753332,-9.323022,9.721207,0.583,-2.466,-8.991,9.421
1561799017,0.248997,-3.145981,-7.292738,7.946271,0.194,-3.01,-9.218,9.731
1561561420,1.417367,-1.403002,-6.086061,6.404489,0.365,-2.86,-8.406,8.939
1560186376,2.006341,-1.982399,-9.016563,9.447419,0.93,-2.321,-7.93,8.38
1561262900,0.469264,-4.534618,-11.99495,12.832062,1.035,-2.767,-8.598,9.158
1561315055,0.110133,-4.194642,-7.594408,8.67653,1.001,-3.029,-8.673,9.34
1561736546,1.872266,-3.011906,-4.031836,5.369605,1.114,-3.431,-8.159,9.081
1561294250,4.683059,-1.359907,-3.993528,6.303067,1.784,-3.275,-6.904,8.295
1559880305,1.292869,-3.462016,-9.581595,10.269568,1.99,-3.007,-6.3,7.655
1560153511,1.805228,-7.76679,-13.661315,15.818135,2.413,-3.9,-7.817,9.44
1560572805,2.925714,-7.455544,-14.820108,16.845788,2.677,-5.011,-10.514,12.309
1559956786,0.92895,-6.253655,-10.697293,12.42591,1.738,-6.235,-12.19,13.84
1560156936,2.317587,-2.547431,-7.64708,8.386802,1.994,-6.006,-11.706,13.369
1561476013,3.308787,-1.403002,-5.252879,6.364685,2.37,-4.415,-9.604,11.006
1559396485,1.733402,-3.318364,-8.887277,9.643646,2.072,-3.381,-8.121,9.205
1559662484,0.756568,-4.841076,-9.873688,11.022619,2.029,-3.027,-7.915,8.854
1561653698,2.494758,-1.197101,-9.811439,10.194175,2.073,-2.69,-8.456,9.306
1561486822,1.000776,-1.024718,-11.449073,11.538322,1.496,-2.595,-10.005,10.6
1560745232,-1.833959,-1.977611,-15.289372,15.525439,0.605,-2.26,-11.606,12.07
