latitude,longitude,track_id, direction
6.78783, 79.88791, 3, 83.3
6.78778, 79.88825, 3, 83.5
6.78777, 79.88855, 3, 90.5
6.78771, 79.88882, 3, 91.3
6.78773, 79.88913, 3, 92.2
6.78787, 79.88949, 3, 90.4
6.78794, 79.88985, 3, 92.4
6.78795, 79.89016, 3, 95.4
6.78799, 79.89044, 3, 90.4
6.788, 79.89077, 3, 94.5
6.78796, 79.89112, 3, 93.5
6.78798, 79.89147, 3, 97.4
6.78797, 79.89181, 3, 90.4
6.78799, 79.89216, 3, 90.3
6.78803, 79.89252, 3, 94.3
6.78801, 79.89281, 3, 92.5
6.78801, 79.89315, 3, 93.4
6.78801, 79.89342, 3, 95.4
6.78793, 79.89376, 3, 94.3
6.787732,79.8941245,3, 94.4
6.787838,79.8946325,3, 93.3
6.787968,79.8951305,3, 80.4
6.78794,79.8949755,3, 89.4
6.788045,79.8955735,3, 90.4
6.788186,79.8962495,4, 85.4
6.7882419,79.8968899,4, 48.3
6.788588,79.8980695,4, 47.5
6.7888287,79.8984644,4, 47.7
6.789104,79.8988625,4, 30.5
6.78965,79.8994065,4, 33.9
6.790472,79.8997145,4, 35.9
6.790858,79.8999765,4, 34.5
6.79121,79.9003865,4, 36.3
6.791283,79.9005065,4, 44.4
6.791283,79.9005075,4, 45.7
6.788192,79.8962605,5, 2.9
6.788706,79.8962655,5, 3.8
6.789401,79.8962525,5, 4.2
6.789807,79.8962735,5, 30.5
6.790216,79.8965265,5, 34.2
6.790731,79.8967525,5, 40.3
6.791233,79.8971915,5, 45.3
6.791583,79.8978305,5, 43.6
6.791566,79.8985255,5, 30.4
6.791798,79.8991735,5, 90.4
6.7921,79.8994195,5, 134.3
6.791977,79.8997415,5, 90.3
6.792032,79.9004365,5, 95.3
6.791283,79.9005075,6, 90.3
6.791307,79.9007655,6, 93.2
6.791324,79.9009965,6, 92.5
6.791311,79.9013885,6, 94.3
6.791278,79.9018275,6, 60.3
6.791322,79.9022785,6, 46.3
6.791482,79.9026785,6, 30.2
6.791781,79.9029565,6, 10.2
6.792142,79.9031105,6, 2.1
6.792744,79.9031045,6, 6.7
6.793115,79.9030335,6, 10.4
6.79352,79.9031585,6, 18.4
6.793957,79.9033505,6, 20.4
6.79444,79.9034375,6, 25.3
6.794722,79.9034705,6, 23.5
6.794899,79.9034795,6, 20.4
6.795012,79.9034875,6, 20.7
6.791283,79.9005075,7, 5.6
6.79177, 79.90053,7, 10.4
6.79199, 79.90053,7, 9.3
6.792242,79.9003765,8, 350.3
6.792352,79.9002565,8, 355.3
6.792559,79.9002075,8, 5.2
6.792859,79.9002875,8, 3.4
6.79340,79.9002441,8, 10.2
6.793652,79.9001735,9, 10.2
